_index,question_id,correct_answer_a,correct_answer_b
1,pitch-random-single-0-q1,6,
2,pitch-random-single-1-q1,4,
3,pitch-random-single-2-q1,4,
4,pitch-random-single-3-q1,8,
5,pitch-random-double-0-q1,4,-4
6,pitch-random-double-1-q1,10,9
7,pitch-random-double-2-q1,-9,0
8,pitch-random-double-3-q1,8,-6
9,pitch-linear-single-0-q1,a,
10,pitch-linear-single-0-q2,c,
11,pitch-linear-single-1-q1,a,
12,pitch-linear-single-1-q2,c,
13,pitch-linear-single-2-q1,d,
14,pitch-linear-single-2-q2,c,
15,pitch-linear-single-3-q1,b,
16,pitch-linear-single-3-q2,c,
17,pitch-linear-double-0-q1,c,d
18,pitch-linear-double-0-q2,c,a
19,pitch-linear-double-1-q1,d,d
20,pitch-linear-double-1-q2,c,c
21,pitch-linear-double-2-q1,b,c
22,pitch-linear-double-2-q2,c,c
23,pitch-linear-double-3-q1,b,b
24,pitch-linear-double-3-q2,c,c
25,spatial-random-single-0-q1,-1,
26,spatial-random-single-1-q1,-2,
27,spatial-random-single-2-q1,-4,
28,spatial-random-single-3-q1,2,
29,spatial-random-double-0-q1,6,-9
30,spatial-random-double-1-q1,-10,-5
31,spatial-random-double-2-q1,3,8
32,spatial-random-double-3-q1,8,-6
33,spatial-linear-single-0-q1,a,
34,spatial-linear-single-0-q2,c,
35,spatial-linear-single-1-q1,b,
36,spatial-linear-single-1-q2,b,
37,spatial-linear-single-2-q1,b,
38,spatial-linear-single-2-q2,c,
39,spatial-linear-single-3-q1,b,
40,spatial-linear-single-3-q2,c,
41,spatial-linear-double-0-q1,c,d
42,spatial-linear-double-0-q2,c,a
43,spatial-linear-double-1-q1,c,d
44,spatial-linear-double-1-q2,c,c
45,spatial-linear-double-2-q1,b,c
46,spatial-linear-double-2-q2,c,c
47,spatial-linear-double-3-q1,b,d
48,spatial-linear-double-3-q2,a,a
49,tempo-random-single-0-q1,-3,
50,tempo-random-single-1-q1,-3,
51,tempo-random-single-2-q1,-5,
52,tempo-random-single-3-q1,4,
53,tempo-random-double-0-q1,-3,6
54,tempo-random-double-1-q1,10,-6
55,tempo-random-double-2-q1,8,5
56,tempo-random-double-3-q1,8,-4
57,tempo-linear-single-0-q1,c,
58,tempo-linear-single-0-q2,a,
59,tempo-linear-single-1-q1,d,
60,tempo-linear-single-1-q2,c,
61,tempo-linear-single-2-q1,a,
62,tempo-linear-single-2-q2,a,
63,tempo-linear-single-3-q1,b,
64,tempo-linear-single-3-q2,a,
65,tempo-linear-double-0-q1,d,a
66,tempo-linear-double-0-q2,c,c
67,tempo-linear-double-1-q1,b,d
68,tempo-linear-double-1-q2,c,c
69,tempo-linear-double-2-q1,d,c
70,tempo-linear-double-2-q2,a,c
71,tempo-linear-double-3-q1,b,c
72,tempo-linear-double-3-q2,c,a
