subject_index,data_index,question_id,answer,
0,0,pitch-random-single-0-q1,5,
0,1,pitch-random-single-1-q1,3,
0,2,pitch-random-single-2-q1,3,
0,3,pitch-random-single-3-q1,4,
0,0,pitch-random-double-0-q1,1,
0,1,pitch-random-double-1-q1,-5,
0,2,pitch-random-double-2-q1,-3,
0,3,pitch-random-double-3-q1,3,
0,0,pitch-linear-single-0-q1,a,
0,0,pitch-linear-single-0-q2,a,
0,1,pitch-linear-single-1-q1,a,
0,1,pitch-linear-single-1-q2,b,
0,2,pitch-linear-single-2-q1,d,
0,2,pitch-linear-single-2-q2,c,
0,3,pitch-linear-single-3-q1,b,
0,3,pitch-linear-single-3-q2,c,
0,0,pitch-linear-double-0-q1,a,a
0,0,pitch-linear-double-0-q2,a,b
0,1,pitch-linear-double-1-q1,b,d
0,1,pitch-linear-double-1-q2,a,a
0,2,pitch-linear-double-2-q1,b,c
0,2,pitch-linear-double-2-q2,a,c
0,3,pitch-linear-double-3-q1,b,c
0,3,pitch-linear-double-3-q2,a,a
0,0,spatial-random-single-0-q1,-5,
0,1,spatial-random-single-1-q1,0,
0,2,spatial-random-single-2-q1,-3,
0,3,spatial-random-single-3-q1,2,
0,0,spatial-random-double-0-q1,5,-5
0,1,spatial-random-double-1-q1,-8,-3
0,2,spatial-random-double-2-q1,5,8
0,3,spatial-random-double-3-q1,5,-5
0,0,spatial-linear-single-0-q1,a,
0,0,spatial-linear-single-0-q2,c,
0,1,spatial-linear-single-1-q1,b,
0,1,spatial-linear-single-1-q2,c,
0,2,spatial-linear-single-2-q1,c,
0,2,spatial-linear-single-2-q2,c,
0,3,spatial-linear-single-3-q1,b,
0,3,spatial-linear-single-3-q2,c,
0,0,spatial-linear-double-0-q1,a,d
0,0,spatial-linear-double-0-q2,a,c
0,1,spatial-linear-double-1-q1,b,d
0,1,spatial-linear-double-1-q2,c,c
0,2,spatial-linear-double-2-q1,b,b
0,2,spatial-linear-double-2-q2,c,c
0,3,spatial-linear-double-3-q1,a,a
0,3,spatial-linear-double-3-q2,b,b
0,0,tempo-random-single-0-q1,-5,
0,1,tempo-random-single-1-q1,-3,
0,2,tempo-random-single-2-q1,-1,
0,3,tempo-random-single-3-q1,5,
0,0,tempo-random-double-0-q1,-5,5
0,1,tempo-random-double-1-q1,8,-6
0,2,tempo-random-double-2-q1,6,8
0,3,tempo-random-double-3-q1,8,5
0,0,tempo-linear-single-0-q1,a,
0,0,tempo-linear-single-0-q2,a,
0,1,tempo-linear-single-1-q1,b,
0,1,tempo-linear-single-1-q2,c,
0,2,tempo-linear-single-2-q1,a,
0,2,tempo-linear-single-2-q2,a,
0,3,tempo-linear-single-3-q1,d,
0,3,tempo-linear-single-3-q2,a,
0,0,tempo-linear-double-0-q1,a,b
0,0,tempo-linear-double-0-q2,a,c
0,1,tempo-linear-double-1-q1,b,b
0,1,tempo-linear-double-1-q2,c,c
0,2,tempo-linear-double-2-q1,b,b
0,2,tempo-linear-double-2-q2,a,c
0,3,tempo-linear-double-3-q1,c,a
0,3,tempo-linear-double-3-q2,a,a
